2023-05-06 16:46:17.737 [main] INFO  c.e.v.VvspringbatchApplication - Starting VvspringbatchApplication using Java 11.0.16.1 on DESKTOP-B0C49SI with PID 22640 (C:\Users\Dell\IdeaProjects\vvspringbatch\target\classes started by Dell in C:\Users\Dell\IdeaProjects\vvspringbatch)
2023-05-06 16:46:17.739 [main] DEBUG c.e.v.VvspringbatchApplication - Running with Spring Boot v2.7.11, Spring v5.3.27
2023-05-06 16:46:17.740 [main] INFO  c.e.v.VvspringbatchApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-06 16:46:18.403 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-05-06 16:46:18.464 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 47 ms. Found 1 JPA repository interfaces.
2023-05-06 16:46:18.837 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-05-06 16:46:19.687 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-05-06 16:46:19.854 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-05-06 16:46:19.945 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2023-05-06 16:46:20.173 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-05-06 16:46:20.329 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2023-05-06 16:46:21.012 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-05-06 16:46:21.034 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-05-06 16:46:21.063 [main] INFO  c.e.vvspringbatch.JobConfiguration - ********************************************************************************************************************
2023-05-06 16:46:21.064 [main] INFO  c.e.vvspringbatch.JobConfiguration - ********************************************************************************************************************
2023-05-06 16:46:21.064 [main] INFO  c.e.vvspringbatch.JobConfiguration - JobConfiguration
2023-05-06 16:46:21.064 [main] INFO  c.e.vvspringbatch.JobConfiguration - ********************************************************************************************************************
2023-05-06 16:46:21.064 [main] INFO  c.e.vvspringbatch.JobConfiguration - ********************************************************************************************************************
2023-05-06 16:46:21.098 [main] INFO  c.e.vvspringbatch.JobConfiguration - ********************************************************************************************************************
2023-05-06 16:46:21.098 [main] INFO  c.e.vvspringbatch.JobConfiguration - ********************************************************************************************************************
2023-05-06 16:46:21.098 [main] INFO  c.e.vvspringbatch.JobConfiguration - FlatFileItemReader
2023-05-06 16:46:21.098 [main] INFO  c.e.vvspringbatch.JobConfiguration - ********************************************************************************************************************
2023-05-06 16:46:21.098 [main] INFO  c.e.vvspringbatch.JobConfiguration - ********************************************************************************************************************
2023-05-06 16:46:21.120 [main] INFO  c.e.vvspringbatch.JobConfiguration - ********************************************************************************************************************
2023-05-06 16:46:21.120 [main] INFO  c.e.vvspringbatch.JobConfiguration - ********************************************************************************************************************
2023-05-06 16:46:21.120 [main] INFO  c.e.vvspringbatch.JobConfiguration - ItemProcessor
